H_forward (A/m),B_forward_smoothed (T),H_reverse (A/m),B_reverse_smoothed (T)
4.160000000000037,1.3019159999999845e-05,-3.519999999999982,-1.416709999999962e-05
3.040000000000009,1.2970679999999859e-05,-2.879999999999973,-1.4125979999999607e-05
2.4,1.2921079999999859e-05,-1.6,-1.4083099999999621e-05
1.2800000000000182,1.2870199999999855e-05,-0.9599999999999909,-1.4038099999999628e-05
0.6400000000000091,1.2817839999999846e-05,0.1600000000000364,-1.3990499999999616e-05
-0.4800000000000182,1.2763719999999843e-05,0.6400000000000091,-1.39398999999996e-05
-1.1200000000000272,1.2707599999999832e-05,1.759999999999991,-1.3885859999999582e-05
-2.240000000000009,1.2649199999999823e-05,2.240000000000009,-1.3827859999999579e-05
-2.880000000000018,1.2588159999999803e-05,3.359999999999991,-1.3765299999999583e-05
-3.840000000000009,1.2523999999999804e-05,3.9999999999999547,-1.3697539999999592e-05
-4.479999999999973,1.2456199999999798e-05,5.1199999999999815,-1.3623819999999607e-05
-5.599999999999954,1.238415999999978e-05,5.759999999999991,-1.3543259999999631e-05
-6.239999999999964,1.2307199999999773e-05,6.879999999999972,-1.345493999999961e-05
-7.359999999999945,1.222455999999976e-05,7.519999999999982,-1.3357859999999595e-05
-7.999999999999955,1.2135399999999757e-05,8.480000000000018,-1.3250699999999568e-05
-9.279999999999973,1.203875999999976e-05,9.120000000000028,-1.3131899999999563e-05
-9.919999999999982,1.1933599999999767e-05,10.080000000000018,-1.299949999999956e-05
-11.039999999999964,1.1818679999999783e-05,10.880000000000019,-1.2851099999999566e-05
-11.679999999999973,1.169263999999978e-05,12.000000000000046,-1.2683699999999553e-05
-12.95999999999999,1.1553799999999793e-05,12.800000000000045,-1.249393999999955e-05
-13.440000000000008,1.140015999999979e-05,13.920000000000027,-1.2278539999999562e-05
-14.559999999999992,1.1229319999999775e-05,14.720000000000027,-1.2034459999999553e-05
-15.04000000000001,1.1038599999999747e-05,15.680000000000017,-1.1759379999999554e-05
-16.0,1.0825239999999762e-05,16.15999999999999,-1.1451899999999566e-05
-16.319999999999983,1.0586599999999744e-05,17.119999999999983,-1.1111619999999582e-05
-17.279999999999973,1.032043999999975e-05,17.6,-1.0738779999999553e-05
-17.75999999999999,1.0024959999999777e-05,18.4,-1.0334339999999546e-05
-18.879999999999974,9.699079999999802e-06,18.720000000000027,-9.899499999999538e-06
-19.519999999999982,9.34223999999981e-06,19.680000000000017,-9.435739999999513e-06
-20.640000000000008,8.954559999999837e-06,20.15999999999999,-8.944699999999511e-06
-21.119999999999983,8.536599999999818e-06,20.95999999999999,-8.428099999999509e-06
-21.91999999999998,8.08947999999983e-06,21.44000000000001,-7.8876999999995e-06
-22.079999999999995,7.614599999999829e-06,22.4,-7.325299999999535e-06
-22.879999999999995,7.113599999999855e-06,22.720000000000027,-6.742699999999577e-06
-23.199999999999978,6.588199999999845e-06,23.360000000000035,-6.141659999999577e-06
-24.0,6.040159999999876e-06,23.84000000000001,-5.523899999999599e-06
-24.319999999999983,5.4712399999999e-06,24.639999999999986,-4.891099999999654e-06
-25.119999999999983,4.883199999999909e-06,24.95999999999999,-4.244859999999635e-06
-25.439999999999987,4.277719999999912e-06,25.75999999999999,-3.586699999999629e-06
-26.079999999999995,3.6563599999999212e-06,26.079999999999995,-2.918059999999648e-06
-26.4,3.0206399999999337e-06,26.720000000000006,-2.240259999999666e-06
-27.2,2.371919999999937e-06,26.880000000000017,-1.5545399999996721e-06
-27.520000000000003,1.7113999999999499e-06,27.520000000000003,-8.620999999996853e-07
-28.160000000000014,1.0402399999999336e-06,27.679999999999996,-1.6409999999971065e-07
-28.479999999999997,3.595999999999374e-07,28.320000000000004,5.383800000002739e-07
-29.119999999999983,-3.2948000000007465e-07,28.640000000000008,1.2443400000002307e-06
-29.279999999999994,-1.026000000000065e-06,29.279999999999994,1.952900000000207e-06
-29.920000000000005,-1.729040000000067e-06,29.6,2.66330000000016e-06
-30.24000000000001,-2.4377600000000546e-06,30.4,3.3749400000001456e-06
-30.560000000000013,-3.151400000000028e-06,30.55999999999999,4.0873000000000735e-06
-30.880000000000017,-3.869280000000017e-06,31.039999999999985,4.799940000000053e-06
-31.04000000000001,-4.590800000000032e-06,31.19999999999999,5.512500000000005e-06
-31.04,-5.3154000000000135e-06,31.679999999999996,6.224699999999965e-06
-31.359999999999992,-6.042599999999971e-06,31.679999999999996,6.9362599999999235e-06
-31.679999999999996,-6.771959999999971e-06,32.160000000000004,7.647019999999913e-06
-31.839999999999996,-7.50303999999995e-06,32.160000000000004,8.356859999999892e-06
-32.160000000000004,-8.235439999999946e-06,32.64000000000001,9.065659999999862e-06
-32.64000000000001,-8.968799999999923e-06,32.80000000000001,9.773339999999842e-06
-32.800000000000004,-9.702799999999944e-06,32.960000000000015,1.0479819999999802e-05
-32.96,-1.0437199999999928e-05,32.960000000000015,1.118497999999979e-05
-33.12,-1.1171799999999936e-05,33.280000000000015,1.1888739999999778e-05
-33.279999999999994,-1.1906399999999902e-05,33.120000000000005,1.2591059999999794e-05
-33.27999999999999,-1.2640759999999915e-05,33.28,1.3291899999999784e-05
-33.11999999999999,-1.3374759999999893e-05,33.6,1.3991299999999759e-05
